cell,group in,nuclide,mean,std. dev.
1,1,N15,6.892255167781014e-10,3.4959107069858862e-12
1,1,N14,6.892255167781014e-10,3.4959107069858862e-12
1,1,O17,6.892255167781014e-10,3.4959107069858862e-12
1,1,O16,6.892255167781014e-10,3.4959107069858862e-12
1,1,O18,6.892255167781014e-10,3.4959107069858862e-12
1,1,Ar38,6.892255167781014e-10,3.4959107069858862e-12
1,1,Ar36,6.892255167781014e-10,3.4959107069858862e-12
1,1,Ar40,6.892255167781014e-10,3.4959107069858862e-12
1,1,Ar41,6.892255167781014e-10,3.4959107069858862e-12
1,1,C12,6.892255167781014e-10,3.4959107069858862e-12
1,1,C13,6.892255167781014e-10,3.4959107069858862e-12
1,2,N15,0.0,0.0
1,2,N14,0.0,0.0
1,2,O17,0.0,0.0
1,2,O16,0.0,0.0
1,2,O18,0.0,0.0
1,2,Ar38,0.0,0.0
1,2,Ar36,0.0,0.0
1,2,Ar40,0.0,0.0
1,2,Ar41,0.0,0.0
1,2,C12,0.0,0.0
1,2,C13,0.0,0.0
